Views,Readers,Comments,Recommends,StartWriting,LastUpdate,Status,Size,SizeType,Author,FanficsTitle,FanficsType
28028,872,39,4,14.08.2014,01.10.2014,Закончен,51,Миди,Огненная страница,The Goddess of Never Being Broken - Богиня несломленных,гет
4302,44,2,1,28.09.2014,01.10.2014,Закончен,38,Мини,Diart,На краю совершенного мира,джен
10829,227,32,0,24.07.2014,01.10.2014,Заморожен,57,Миди,Mystery_fire,Осколки битого стекла,гет
6003,307,31,0,01.10.2014,01.10.2014,Закончен,4,Мини,HelenRad,Прятки,джен
6223,295,35,0,01.10.2014,01.10.2014,Закончен,6,Мини,TokaOka,Первое слово,джен
4427,130,4,0,01.10.2014,01.10.2014,Закончен,9,Мини,Liannon,Наследство,слэш
25087,376,41,2,05.04.2013,30.09.2014,Закончен,112,Миди,GeneralAnna,Благодарность,слэш
6380,293,26,1,30.09.2014,30.09.2014,Закончен,4,Мини,HelenRad,Он вернется...,джен
19126,278,269,3,14.01.2014,30.09.2014,Заморожен,233,Макси,Скарапея Змея,Чашечку кофе?,гет
28952,987,20,0,30.09.2014,30.09.2014,Закончен,9,Мини,Raven912,Учитель Ситха,гет
6282,306,45,1,29.09.2014,29.09.2014,Закончен,3,Мини,HelenRad,Природа ёжиков,джен
7329,315,25,1,29.09.2014,29.09.2014,Закончен,3,Мини,HelenRad,Рон и ёжик,джен
19076,523,10,0,19.09.2014,29.09.2014,Закончен,74,Миди,DoberAnts,Тайны молчания,гет
59183,477,173,4,30.06.2014,29.09.2014,Закончен,771,Макси,Home Orchid,Дартс: палитра души,гет
6825,436,8,0,29.09.2014,29.09.2014,Закончен,7,Мини,Diart,Вечер пятницы,слэш
61744,973,237,1,08.09.2014,28.09.2014,Закончен,237,Макси,HelenRad,Блэки умеют ждать,слэш
7542,134,20,0,02.07.2014,27.09.2014,Закончен,50,Миди,julia_f_jones,Лес,слэш
5692,187,9,0,27.09.2014,27.09.2014,Закончен,33,Мини,Liannon,Смерть героя,слэш
7580,365,8,3,27.09.2014,27.09.2014,Закончен,12,Мини,Stivi,Одна луна на двоих,гет
7714,303,3,0,27.09.2014,27.09.2014,Закончен,14,Мини,pluvieuse,Expecto patronum!,гет
42365,926,48,5,26.09.2014,27.09.2014,Закончен,133,Миди,Астрея,У зеркала два лица,гет
3840,86,11,0,26.09.2014,26.09.2014,Закончен,11,Мини,SectumsepraX,Эта —  дурацкая —  осень,гет
11331,603,5,0,26.09.2014,26.09.2014,Закончен,7,Мини,Астрея,Отражение,гет
685910,5891,1648,17,21.06.2014,25.09.2014,Закончен,923,Макси,Lana Marko,Гарри Поттер и Круг Силы,джен
5121,207,13,0,25.09.2014,25.09.2014,Закончен,8,Мини,Liannon,Что тебе во мне нравится?,слэш
77122,2101,149,5,15.09.2014,25.09.2014,Закончен,113,Миди,HelenRad,Как в последний раз,слэш
21129,1208,38,2,25.09.2014,25.09.2014,Закончен,40,Мини,Астрея,Как выйти замуж за зельевара,гет
12264,836,14,0,25.09.2014,25.09.2014,Закончен,11,Мини,Астрея,"После бала, или Как трудно быть Золушкой",гет
5602,274,3,0,24.09.2014,24.09.2014,Закончен,6,Мини,yours curse,Правильный выбор,гет
6727,198,8,2,24.09.2014,24.09.2014,Закончен,66,Миди,Liannon,And we’ve Got to find Other Ways,слэш
289889,3388,596,14,20.10.2013,24.09.2014,Закончен,807,Макси,Kaitrin,Anima lacera,слэш
19045,1656,364,7,24.09.2014,24.09.2014,Закончен,9,Мини,Nikol Hatter,Оргия Пожирателей,джен
16757,849,54,5,24.09.2014,24.09.2014,Закончен,50,Миди,Астрея,"Я - ужас, летящий на крыльях ночи...",гет
11860,585,15,3,23.09.2014,23.09.2014,Закончен,42,Мини,Niel Ellington,Time Laughs At Us All,слэш
5433,195,6,0,23.09.2014,23.09.2014,Закончен,16,Мини,Liannon,Мужчина мечты,слэш
18379,645,33,1,23.12.2013,23.09.2014,Закончен,57,Миди,ivanna343,Весть утешения,слэш
61639,1149,650,2,06.08.2014,23.09.2014,Заморожен,97,Макси,Команда,Гарри Потрошитель,джен
6116,237,10,1,23.09.2014,23.09.2014,Закончен,9,Мини,Bergkristall,Снейп и Блэк в закрытой комнате? (Не)хорошая идея!,слэш
5688,194,9,0,23.09.2014,23.09.2014,Закончен,4,Мини,Bergkristall,Совершенный,слэш
6178,212,10,0,23.09.2014,23.09.2014,Закончен,10,Мини,София Риддл,Пожиратель Смерти,джен
22908,925,98,2,23.09.2014,23.09.2014,Закончен,11,Мини,Altra Realta,Apt Pupil - Способный ученик,джен
5581,137,29,3,22.09.2014,22.09.2014,Закончен,14,Мини,Киска-Мурыська,Булочки с корицей,гет
66285,1326,219,8,05.04.2014,22.09.2014,Закончен,152,Миди,Миравно,Никогда больше,слэш
34546,731,31,1,21.09.2014,22.09.2014,Закончен,79,Миди,Астрея,Бесконечная история,гет
9447,446,33,0,23.06.2014,21.09.2014,Закончен,20,Мини,Munchen,Погоня,слэш
8056,69,19,2,19.07.2014,21.09.2014,Заморожен,59,Миди,Валар Моргулис,Дементоры и их проклятые создатели,джен
8503,563,25,1,21.09.2014,21.09.2014,Закончен,11,Мини,Киска-Мурыська,Все дело в хвосте,слэш
46532,952,323,11,04.09.2014,21.09.2014,Закончен,60,Миди,Altra Realta,Plum Job - Теплое местечко,джен
678570,7008,971,31,06.08.2013,20.09.2014,Закончен,980,Макси,Лазель,Сын Обмана,слэш
7919,329,8,0,20.09.2014,20.09.2014,Закончен,15,Мини,Kristin Libertas,Лучший подарок,гет
4117,94,14,0,20.09.2014,20.09.2014,Закончен,8,Мини,Politolog,Посчитай до десяти,гет
6576,217,15,0,20.09.2014,20.09.2014,Закончен,8,Мини,Пеннивайз,Летучая мышь,джен
7930,472,23,1,20.09.2014,20.09.2014,Закончен,8,Мини,Астрея,Загадай желание,гет
7652,420,19,0,19.09.2014,19.09.2014,Закончен,15,Мини,Астрея,Охота за Красным Колпаком,гет
180607,3519,173,4,31.12.2013,19.09.2014,Закончен,225,Миди,Greykot,Гарри Поттер-МакГонагалл,гет
24768,538,75,1,18.07.2014,18.09.2014,Заморожен,126,Макси,niknamekin,В Присутствии Врагов,гет
5338,106,26,10,18.09.2014,18.09.2014,Закончен,32,Мини,Yana_mia,Диалоги о енотах,гет
56446,704,72,0,15.06.2009,18.09.2014,Заморожен,111,Макси,Black Stone,"Я, или не я?",гет
4306,119,25,7,18.09.2014,18.09.2014,Закончен,19,Мини,Yana_mia,Страна приливов,гет
57685,2829,72,0,06.09.2014,18.09.2014,Закончен,24,Мини,Restless Katherine,После представления: десять лет спустя,джен
24080,569,58,3,18.09.2014,18.09.2014,Закончен,110,Миди,Астрея,В некотором царстве,гет
23552,1663,325,5,18.09.2014,18.09.2014,Закончен,8,Мини,Nikol Hatter,Творческий процесс,слэш
5839,354,29,1,17.09.2014,17.09.2014,Закончен,15,Мини,Niel Ellington,Меня не было там. Побег,джен
11402,772,29,2,17.09.2014,17.09.2014,Закончен,10,Мини,АК-65,Консультация,джен
11749,732,41,2,17.09.2014,17.09.2014,Закончен,16,Мини,Астрея,Чем удобряют кактусы,гет
